"id","user_id","city_id","created_at","updated_at"
1,5,1,"2017-01-30 01:25:49","2017-01-30 01:25:49"
2,5,2,"2017-01-30 01:25:49","2017-01-30 01:25:49"
3,618,1,"2017-01-31 12:24:12","2017-01-31 12:24:12"
4,618,2,"2017-01-31 12:24:12","2017-01-31 12:24:12"
5,15,1,"2017-02-03 08:09:22","2017-02-03 08:09:22"
6,15,2,"2017-02-03 08:09:22","2017-02-03 08:09:22"
7,489,1,"2017-02-03 08:14:06","2017-02-03 08:14:06"
8,489,2,"2017-02-03 08:14:06","2017-02-03 08:14:06"
9,627,1,"2017-02-03 08:17:36","2017-02-03 08:17:36"
10,627,2,"2017-02-03 08:17:36","2017-02-03 08:17:36"
11,628,1,"2017-02-03 08:20:56","2017-02-03 08:20:56"
12,628,2,"2017-02-03 08:20:56","2017-02-03 08:20:56"
13,491,1,"2017-02-03 08:24:36","2017-02-03 08:24:36"
14,491,2,"2017-02-03 08:24:36","2017-02-03 08:24:36"
15,629,1,"2017-02-03 08:26:27","2017-02-03 08:26:27"
16,629,2,"2017-02-03 08:26:27","2017-02-03 08:26:27"
17,675,1,"2017-02-10 04:30:14","2017-02-10 04:30:14"
18,675,2,"2017-02-10 04:30:14","2017-02-10 04:30:14"
19,677,1,"2017-02-10 05:45:38","2017-02-10 05:45:38"
20,677,2,"2017-02-10 05:45:38","2017-02-10 05:45:38"
21,707,2,"2017-02-13 09:16:33","2017-02-13 09:16:33"
22,708,2,"2017-02-13 09:19:58","2017-02-13 09:19:58"
23,709,2,"2017-02-13 09:21:19","2017-02-13 09:21:19"
24,710,1,"2017-02-13 09:22:44","2017-02-13 09:22:44"
25,711,1,"2017-02-13 09:29:24","2017-02-13 09:29:24"
26,719,1,"2017-02-15 00:11:50","2017-02-15 00:11:50"
27,719,2,"2017-02-15 00:11:50","2017-02-15 00:11:50"
28,712,1,"2017-02-22 00:34:55","2017-02-22 00:34:55"
29,712,2,"2017-02-22 00:34:55","2017-02-22 00:34:55"
31,885,2,"2017-03-03 16:00:09","2017-03-03 16:00:09"
32,950,1,"2017-03-10 17:18:29","2017-03-10 17:18:29"
33,950,2,"2017-03-10 17:18:29","2017-03-10 17:18:29"
34,1032,1,"2017-03-18 00:02:52","2017-03-18 00:02:52"
35,1032,2,"2017-03-18 00:02:52","2017-03-18 00:02:52"
36,3,1,"2017-03-24 22:14:49","2017-03-24 22:14:49"
37,3,2,"2017-03-24 22:14:49","2017-03-24 22:14:49"
38,1191,1,"2017-03-31 00:56:43","2017-03-31 00:56:43"
39,1191,2,"2017-03-31 00:56:43","2017-03-31 00:56:43"
40,1281,1,"2017-04-07 06:36:35","2017-04-07 06:36:35"
41,1281,2,"2017-04-07 06:36:35","2017-04-07 06:36:35"
42,1,1,"2017-04-13 00:16:06","2017-04-13 00:16:06"
43,1,2,"2017-04-13 00:16:06","2017-04-13 00:16:06"
44,193,1,"2017-04-22 01:43:09","2017-04-22 01:43:09"
45,193,2,"2017-04-22 01:43:09","2017-04-22 01:43:09"
47,8,2,"2017-04-22 01:44:16","2017-04-22 01:44:16"
50,1544,1,"2017-04-25 10:15:25","2017-04-25 10:15:25"
51,1544,2,"2017-04-25 10:15:25","2017-04-25 10:15:25"
52,1610,2,"2017-04-29 09:02:47","2017-04-29 09:02:47"
53,1649,2,"2017-05-02 04:31:22","2017-05-02 04:31:22"
54,1685,1,"2017-05-04 23:48:32","2017-05-04 23:48:32"
55,1686,1,"2017-05-04 23:54:15","2017-05-04 23:54:15"
56,885,1,"2017-05-12 10:35:08","2017-05-12 10:35:08"
57,8,1,"2017-05-26 12:53:50","2017-05-26 12:53:50"
58,2052,1,"2017-06-02 15:11:04","2017-06-02 15:11:04"
59,2052,2,"2017-06-02 15:11:04","2017-06-02 15:11:04"
60,2161,3,"2017-06-10 23:34:09","2017-06-10 23:34:09"
61,2162,3,"2017-06-10 23:36:24","2017-06-10 23:36:24"
62,2163,3,"2017-06-10 23:39:49","2017-06-10 23:39:49"
63,2164,1,"2017-06-10 23:41:55","2017-06-10 23:41:55"
64,2164,2,"2017-06-10 23:41:55","2017-06-10 23:41:55"
65,2164,3,"2017-06-10 23:41:55","2017-06-10 23:41:55"
66,712,3,"2017-06-11 08:33:20","2017-06-11 08:33:20"
67,675,3,"2017-06-11 08:35:03","2017-06-11 08:35:03"
68,885,3,"2017-06-11 08:36:27","2017-06-11 08:36:27"
69,491,3,"2017-06-11 08:36:42","2017-06-11 08:36:42"
70,2052,3,"2017-06-11 08:36:55","2017-06-11 08:36:55"
71,1191,3,"2017-06-11 08:38:15","2017-06-11 08:38:15"
72,1544,3,"2017-06-11 08:38:26","2017-06-11 08:38:26"
73,677,3,"2017-06-11 08:38:35","2017-06-11 08:38:35"
74,1281,3,"2017-06-11 11:13:14","2017-06-11 11:13:14"
75,20,3,"2017-06-15 22:47:10","2017-06-15 22:47:10"
76,2163,1,"2017-06-23 08:28:33","2017-06-23 08:28:33"
77,2163,2,"2017-06-23 08:28:33","2017-06-23 08:28:33"
78,2404,1,"2017-06-27 22:29:26","2017-06-27 22:29:26"
79,2404,2,"2017-06-27 22:29:26","2017-06-27 22:29:26"
80,2404,3,"2017-06-27 22:29:26","2017-06-27 22:29:26"
81,2411,1,"2017-06-28 14:17:01","2017-06-28 14:17:01"
82,2411,2,"2017-06-28 14:17:01","2017-06-28 14:17:01"
83,2411,3,"2017-06-28 14:17:01","2017-06-28 14:17:01"
84,2471,3,"2017-07-01 19:39:37","2017-07-01 19:39:37"
85,2519,3,"2017-07-04 03:22:55","2017-07-04 03:22:55"
86,2542,1,"2017-07-05 23:44:59","2017-07-05 23:44:59"
87,20,1,"2017-07-06 15:11:32","2017-07-06 15:11:32"
88,20,2,"2017-07-06 15:11:32","2017-07-06 15:11:32"
89,2161,1,"2017-07-06 21:26:09","2017-07-06 21:26:09"
90,2161,2,"2017-07-06 21:26:09","2017-07-06 21:26:09"
91,1101,1,"2017-07-10 12:16:26","2017-07-10 12:16:26"
92,1101,2,"2017-07-10 12:16:26","2017-07-10 12:16:26"
93,1101,3,"2017-07-10 12:16:26","2017-07-10 12:16:26"
94,2918,1,"2017-07-24 13:23:11","2017-07-24 13:23:11"
95,2918,2,"2017-07-24 13:23:11","2017-07-24 13:23:11"
96,2918,3,"2017-07-24 13:23:11","2017-07-24 13:23:11"
97,3052,2,"2017-08-01 01:27:07","2017-08-01 01:27:07"
98,2544,1,"2017-08-01 22:55:53","2017-08-01 22:55:53"
99,2544,2,"2017-08-01 22:55:53","2017-08-01 22:55:53"
100,2544,3,"2017-08-01 22:55:53","2017-08-01 22:55:53"
